ID;Date;Région;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard à l'arrivée;Commentaires
TER_18;2013-01;Poitou Charentes;3269;3134;135;205;93.5;14.3;Mouvements sociaux des agents du service commercial trains le ASCT le 1er et le 8 janvier. Fortes chutes de neige ayant entrainé des perturbations exceptionnelles.
TER_14;2013-02;Midi Pyrénées;7657;7455;202;915;87.7;7.1;Intempéries.
TER_1;2013-03;Alsace;19138;18970;168;658;96.5;27.8;
TER_5;2013-03;Bourgogne;7949;7646;303;634;91.7;11.1;Le meilleur mois de mars depuis 2007 en terme de ponctualité avec des bons résultats sur la quasi-totalité des axes.
TER_6;2013-03;Bretagne;8363;8208;155;924;88.7;7.9;Perte de régularité supérieure à 6 points en global région à cause des limitations de vitesse pour travaux entre Rennes et Redon.
TER_9;2013-03;Franche Comté;5676;5628;48;360;93.6;14.6;
TER_3;2013-04;Auvergne;5202;5167;35;342;93.4;14.1;Dérangements d'installations de sécurité et défaillance technique matériel roulant.
TER_4;2013-04;Basse Normandie;3221;3137;84;190;93.9;15.5;Plusieurs zones de travaux. Dérangements de d'installations dues aux variations de températures.
TER_7;2013-04;Centre;9327;9241;86;561;93.9;15.5;
TER_9;2013-04;Franche Comté;5655;5638;17;327;94.2;16.2;
TER_10;2013-04;Haute Normandie;5662;5616;46;245;95.6;21.9;
TER_13;2013-04;Lorraine;;;;;;;Le Président de la Région Lorraine s'est opposé, par courrier du 10 juillet 2013, à ce que SNCF transmette à l'AQST les données relatives aux trains TER lorrains en retard ou annulés, au motif qu'il n'a pas ''de visibilité sur les capacités des régions à poursuivre leurs missions d'autorité organisatrice des transports régionaux''.
TER_16;2013-04;Pays de la Loire;9758;9549;209;501;94.8;18.1;
TER_19;2013-04;Provence Alpes Côte d'Azur;13437;12168;1269;1660;86.4;6.3;Un éboulement dans un tunnel suite à des intempéries entraîne la suppression des trains sur une partie de leur parcours.
TER_20;2013-04;Rhône Alpes;25660;25326;334;3016;88.1;7.4;
TER_15;2013-05;Nord Pas de Calais;18181;17997;184;922;94.9;18.5;
TER_18;2013-05;Poitou Charentes;3292;3276;16;161;95.1;19.3;
TER_20;2013-05;Rhône Alpes;26805;26527;278;2512;90.5;9.6;Bonne performance du système de production malgré les travaux sur l'axe Lyon-Grenoble.
TER_1;2013-06;Alsace;17810;17668;142;784;95.6;21.5;Mouvement social et travaux à Vendenheim pour la deuxième phase du TGV Est.
TER_4;2013-06;Basse Normandie;3186;3063;123;183;94.0;15.7;Plusieurs mouvements sociaux (dont l'un à PSL suite à l'agression d'un ASCT).
TER_8;2013-06;Champagne Ardenne;6447;6208;239;256;95.9;23.3;Mouvement social national le 13/06/2013.
TER_9;2013-06;Franche Comté;5398;5334;64;446;91.6;11.0;
TER_16;2013-06;Pays de la Loire;9665;9217;448;574;93.8;15.1;73% des annulations sont liées à des mouvements sociaux.
TER_1;2013-07;Alsace;14462;14363;99;483;96.6;28.7;
TER_7;2013-07;Centre;9512;9243;269;868;90.6;9.6;Perturbation suite à l'accident de Brétigny. Fortes chaleurs.
TER_14;2013-07;Midi Pyrénées;9627;9088;539;1029;88.7;7.8;Fortes chaleurs.
TER_4;2013-08;Basse Normandie;3721;3691;30;226;93.9;15.3;Nombreuses difficultés matériels et des difficultés de circulation.
TER_7;2013-08;Centre;9132;9047;85;519;94.3;16.4;
TER_10;2013-08;Haute Normandie;5872;5824;48;199;96.6;28.3;
TER_11;2013-08;Languedoc Roussillon;5238;5173;65;484;90.6;9.7;Dérangements d'installations.
TER_13;2013-08;Lorraine;;;;;;;Le Président de la Région Lorraine s'est opposé, par courrier du 10 juillet 2013, à ce que SNCF transmette à l'AQST les données relatives aux trains TER lorrains en retard ou annulés, au motif qu'il n'a pas ''de visibilité sur les capacités des régions à poursuivre leurs missions d'autorité organisatrice des transports régionaux''.
TER_3;2013-09;Auvergne;5887;5803;84;441;92.4;12.2;Défaillance technique du matériel roulant et erreur anomalie défaillance technique.
TER_10;2013-09;Haute Normandie;5748;5598;150;217;96.1;24.8;Mouvement social.
TER_14;2013-09;Midi Pyrénées;7613;7448;165;605;91.9;11.3;Actes de malveillance, dérangements des IS, intempéries et incident matériel en ligne.
TER_16;2013-09;Pays de la Loire;9731;9381;350;651;93.1;13.4;73% des annulations sont liées à des mouvements sociaux.
TER_13;2013-09;Lorraine;;;;;;;Le Président de la Région Lorraine s'est opposé, par courrier du 10 juillet 2013, à ce que SNCF transmette à l'AQST les données relatives aux trains TER lorrains en retard ou annulés, au motif qu'il n'a pas ''de visibilité sur les capacités des régions à poursuivre leurs missions d'autorité organisatrice des transports régionaux''.
TER_6;2013-10;Bretagne;8768;8705;63;766;91.2;10.4;Les travaux entre Brest et Landerneau et entre Quimper et Lorient impactent de 2,5 points la régularité de l'activité TER Bretagne, 1 point d'irrégularité cause intempéries/enrayage. L'incident de Sillé Le Guillaume (heurt d'un camion par un TGV) entrainent une irrégularité de 1 point (correspondances TER).
TER_11;2013-10;Languedoc Roussillon;4974;4676;298;478;89.8;8.8;Intempéries, malveillance et mouvement social.
TER_15;2013-10;Nord Pas de Calais;18038;17815;223;2147;87.9;7.3;Tempête Christian le 28 avec des répercussions sur trois jours.
TER_20;2013-10;Rhône Alpes;29798;29430;368;3531;88.0;7.3;Les événements externes perturbent ce mois.
TER_4;2013-11;Basse Normandie;3098;2878;220;220;92.4;12.1;Plan automnal sur Dreux/Granville, difficultés de circulations (notament dus aux feuilles mortes) et mouvement social du 12 suite agression d'un ASCT la veille.
TER_16;2013-11;Pays de la Loire;9330;9200;130;904;90.2;9.2;Mauvaise adhérence sur le rail (chute des feuilles mortes), nombreuses limitations de vitesse pour travaux (Nantes-Angers, Angers-Le Mans, Nantes-St Gilles, Le Mans-Château du Loir).
TER_1;2013-12;Alsace;17968;17780;188;738;95.8;23.1;Temps humide, nombreux incidents matériel et d'infrastructure.
TER_2;2013-12;Aquitaine;8802;8647;155;985;88.6;7.8;Intempéries (patinages, enrayages, givres et brouillard), défaillances du matériels (pannes et indisponibilités) et les ralentissements sont les causes principales des retards en décembre.
TER_5;2013-12;Bourgogne;7892;7605;287;749;90.2;9.2;Décembre 2013 est proche du résultat enregistré un an plus tôt. Le mois est marqué par un mouvement social important le 12 décembre traduisant un taux d'annulation important.
TER_6;2013-12;Bretagne;8576;8246;330;613;92.6;12.5;Les travaux impactent de 1,2 point la régularité de ce mois. A signaler également : 1,2 point d'irrégularité pour cause d'enrayage et 1 point suite à la tempête DIRK, 1 point pour avarie matériel et 0.5 pour causes externes (obstacles. accident de personne). Sur 330 trains supprimés, 207 suite à une grève nationale le 10 décembre, 59 suite à la tempête DIRK et 22 pour avaries matériel.
TER_8;2013-12;Champagne Ardenne;6413;6104;309;417;93.2;13.6;Mouvement social national le 12, acte de vandalisme sur la ligne Reims-Chalons (câbles de signalisation brûlés) le 16, accident de personne avec le train 840805 à Reims Maisonblanche le 22, arbres sur les voies suite au passage de la tempête DIRK le 24, mouvement social local à l'ESV CA.
TER_10;2013-12;Haute Normandie;5899;5359;540;420;92.2;11.8;Mouvement social et plan automne.
TER_20;2013-12;Rhône Alpes;25268;24811;457;4185;83.1;4.9;Événements externes, panne matériel et problèmes d'infrastructure.
TER_20;2014-01;Rhône Alpes;28044;27625;419;3008;89.1;8.2;Événements externes, panne matériel et problèmes d'infrastructure.
TER_17;2014-01;Picardie;11843;11756;87;992;91.6;10.9;La mise en place d'une limitation de vitesse à 60 km/h sur une distance de 32 km sur l'axe Beauvais-Le Tréport a impacté la régularité d'environ 2%.
TER_7;2014-01;Centre;9332;9283;49;537;94.2;16.3;
TER_6;2014-01;Bretagne;8781;8714;67;416;95.2;19.9;Régularité impactée en janvier par les travaux entre Rennes et Redon (1 point d'irrégularité).
TER_4;2014-01;Basse Normandie;3318;3303;15;128;96.1;24.8;Meilleure résultats qu'en janvier 2013.
TER_8;2014-02;Champagne Ardenne;5675;5633;42;216;96.2;25.1;Pas de faits majeurs ce mois ci. La circulation des trains champardennais a cependant été perturbée certains jours par des actes de malveillance, des intrusions de tiers dans les emprises ferroviaires, des panne de trains, des intempéries ou des accidents.
